Business name,Normalised business name,Domain,Normalised root domain,Country,Legal or subscriber type,Industry,Contact email,Contact person,Decision-maker role,Phone number,Date researched,Date first contacted,Date follow-up due,Existing website quality,Demo status,GitHub path,GitHub branch or pull request,Public demo URL,Gmail first-draft status,Gmail follow-up status,Outreach status,Delivery status,Reply status,Opt-out status,Suppression reason,Prospect score,Commercial capability,Notes,Website QA status,Link QA status
Arch Services,arch services,https://www.archservices.co.uk/,archservices.co.uk,United Kingdom,Commercial trading entity represented on official website; legal registration not relied upon in this concept,"Commercial drainage, surveys and infrastructure services",info@archservices.co.uk,Commercial drainage team,General business inbox,0800 707 6771,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/arch-services,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/arch-services/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Commercial drainage survey and emergency scope builder. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z.",,
Event Production Services,event production services,https://epsoxford.com/,epsoxford.com,United Kingdom,Event Production Services is a trading name of EPS Oxford Limited; company number 09017219,"Technical event production, hire, AV installation and venue services",info@epsoxford.com,Production team,General business inbox,01844 278446,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/eps-oxford,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/eps-oxford/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Event production brief builder separating dry hire, full production and installation. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z.",,
FPF Warehousing,fpf warehousing,https://fpfw.co.uk/,fpfw.co.uk,United Kingdom,FPF Warehousing Limited; company number 10423172,"Warehousing, fulfilment and distribution",sales@fpfw.co.uk,Sales team,Sales inbox,01256 672727,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/fpf-warehousing,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/fpf-warehousing/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Warehousing quote brief with volumes, handling and distribution needs. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z.",,
Thomas Nagy Ltd,thomas nagy ltd,https://thomasnagy.uk/,thomasnagy.uk,United Kingdom,Thomas Nagy Ltd; company number 10709064,"Commercial, rail and highways electrical contracting",info@thomasnagy.uk,Commercial projects team,General business inbox,020 7060 3873,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/thomas-nagy,Merged PR #8; deployment/verification commit 6bdeda8f6cc08e84b72c87b1beec5390c91199e9,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thomas-nagy/,Created in connected Gmail; not sent,Created as standalone Re: Gmail draft; not sent; genuine threading pending until original is sent,Exactly 20 Gmail drafts created (10 first-contact + 10 standalone Re: follow-ups); no email sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available checks. Primary opportunity: Sector-specific electrical project and maintenance intake. Gmail profile currently shows Ruan and sending domain .info while outreach identity is Michael / .com; manual identity repair required before scaled sending. Public demo, thank-you page and MDA website verified at 2026-08-05T11:18:42Z.",,
Excel Automatic Doors,excel automatic doors,https://www.exceldoors.co.uk/,exceldoors.co.uk,United Kingdom,Established trading business; legal company number not relied upon in this concept,"Automatic doors, shop fronts and roller shutters",info@exceldoors.co.uk,Door projects team,General business inbox,01925 596210,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/excel-automatic-doors,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/excel-automatic-doors/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Emergency door-fault triage with planned-installation routing.",,
A2M TEC Ltd,a2m tec ltd,https://www.a2mtec.co.uk/,a2mtec.co.uk,United Kingdom,Private limited company; company number 11661761 shown on official website,"Commercial security, gates, barriers, CCTV and access control",info@a2mtec.co.uk,Security projects team,General business inbox,01473 561131,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/a2m-tec,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/a2m-tec/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Multi-site security survey and existing-platform qualification.",,
NICAD,nicad,https://www.nicad.co.uk/,nicad.co.uk,United Kingdom,NICAD Ltd; company number 12686163 shown on official website,"HVAC, facilities maintenance and renewable energy",info@nicad.co.uk,Facilities team,General business inbox,0161 536 4121,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/nicad,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/nicad/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Facilities priority matrix with operational-impact routing.",,
Braywhite & Co Ltd,braywhite co ltd,https://www.braywhite.co.uk/,braywhite.co.uk,United Kingdom,Private limited company; company number 01080090 shown on official website,"Commercial HVAC, refrigeration and industrial chillers",info@braywhite.co.uk,HVAC service team,General business inbox,0121 551 6001,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/braywhite-hvac,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/braywhite-hvac/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,93,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Cold-chain and chiller fault triage for faster service decisions.",,
K Plant Hire Ltd,k plant hire ltd,https://kplanthire.uk.com/,kplanthire.uk.com,United Kingdom,K Plant Ltd is shown on the official website; company number not relied upon in this concept,"Plant, access, tool and welfare equipment hire",hire@kplanthire.uk.com,Hire desk,General hire inbox,01189 775 742,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/k-plant-hire,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/k-plant-hire/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Dispatch-ready equipment finder with dates and access details.",,
R S Surveys,r s surveys,https://www.rs-surveys.co.uk/,rs-surveys.co.uk,United Kingdom,Privately owned commercial business; legal company number not relied upon in this concept,"Commercial drainage, CCTV surveys, tankers and planned maintenance",Richard@rssurveysltd.co.uk,Commercial surveys team,Public enquiries address,01564 493 284,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/rs-surveys,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/rs-surveys/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Commercial drainage scope builder with output and access routing.",,
Laser Surveys Ltd,laser surveys ltd,https://www.lasersurveys.co.uk/,lasersurveys.co.uk,United Kingdom,Laser Surveys Ltd shown on official website; company number not relied upon in this concept,"Topographical, building, utility, drainage and 3D surveys",worcester@lasersurveys.com,Survey quotations team,Worcestershire office inbox,01886 833173,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/laser-surveys,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/laser-surveys/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Survey deliverable builder for accurate estimating and scheduling.",,
Eclipse Event Staging & Production,eclipse event staging production,https://eclipseuk.co.uk/,eclipseuk.co.uk,United Kingdom,Commercial trading business; legal company number not relied upon in this concept,"Event staging, touring sound, lighting and venue installations",info@eclipseuk.co.uk,Production team,General business inbox,01473 527 527,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/eclipse-event-production,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/eclipse-event-production/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Production-ready event brief separating hire, full production and installs.",,
Thames Fire,thames fire,https://www.thamesfire.com/,thamesfire.com,United Kingdom,Independent fire-protection business; legal company number not relied upon in this concept,"Fire alarms, extinguishers, emergency lighting and risk assessments",info@thamesfire.com,Fire safety team,General business inbox,0800 955 1005,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/thames-fire,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/thames-fire/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Fire-compliance planner separating impairments, servicing and assessments.",,
Guardian Hygiene Services Ltd,guardian hygiene services ltd,https://guardian-group.co.uk/,guardian-group.co.uk,United Kingdom,Guardian Hygiene Services Ltd shown on official website,"Legionella control, water hygiene and compliance services",enquiries@guardian-group.co.uk,Water hygiene advisors,General enquiries inbox,01522 688180,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Local build complete; QA and deployment pending,prospects/guardian-hygiene,Batch 10 main deployment workflow,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/guardian-hygiene/,Pending public-link gate,Prepared text; standalone Re: draft pending public-link gate,Prepared; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found after available Gmail, GitHub and outreach-log checks. Primary opportunity: Estate-based water-compliance plan with recurring-service routing.",,
Batt Laboratories,batt laboratories,https://battlab.com/,battlab.com,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Veterinary diagnostic laboratory,admin@battlab.com,Laboratory administration team,Verified team or general business contact,0247 632 3275,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/batt-laboratories,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/batt-laboratories/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,92,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Practice onboarding and sample-submission brief. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
CAP Electrical,cap electrical,https://capelectrical.co.uk/,capelectrical.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial electrical contracting,info@capelectrical.co.uk,Commercial projects team,Verified team or general business contact,01423 457144,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/cap-electrical,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/cap-electrical/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Tender and project-scoping intake. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
Industrial Cleansing Services,industrial cleansing services,https://ics-kent.co.uk/,ics-kent.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Industrial and commercial cleaning,enquiries@ics-kent.co.uk,Commercial cleaning enquiries team,Verified team or general business contact,01795 890 115,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/industrial-cleansing-services,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/industrial-cleansing-services/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,89,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Site-risk and service-frequency qualification. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
Tri-Bond Roofing,tri-bond roofing,https://www.tri-bondroofing.co.uk/,tri-bondroofing.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial and industrial roofing,info@tri-bondroofing.co.uk,Roofing enquiries team,Verified team or general business contact,07751 933925,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/tri-bond-roofing,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/tri-bond-roofing/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,86,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Roof-survey and evidence intake. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
UK Fire Protection,uk fire protection,https://ukfireprotection.co.uk/,ukfireprotection.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Fire protection and safety services,admin@uk-fireltd.com,Fire safety enquiries team,Verified team or general business contact,020 3951 0366,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/uk-fire-protection,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/uk-fire-protection/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Fire-service and impairment routing. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
National Pump Services,national pump services,https://www.nationalpumpservices.co.uk/,nationalpumpservices.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Water and wastewater pump services,enquiries@nationalpumpservices.co.uk,Pump services enquiries team,Verified team or general business contact,0203 488 0543,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/national-pump-services,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/national-pump-services/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,90,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Pump fault-triage and parts routing. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
Automatic Access,automatic access,https://www.automaticaccess.co.uk/,automaticaccess.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Automatic doors and entrance systems,sales@automaticaccess.co.uk,Automatic door sales team,Verified team or general business contact,0330 4410 666,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/automatic-access,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/automatic-access/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,91,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Door-state and security-risk triage. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
Pro Drainage,pro drainage,https://prodrainage.co.uk/,prodrainage.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Commercial drainage and septic services,info@prodrainage.co.uk,Commercial drainage team,Verified team or general business contact,0800 6118277,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/pro-drainage,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/pro-drainage/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,87,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Emergency-versus-survey drainage routing. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
UKFM Warehousing,ukfm warehousing,https://www.ukfmwarehousing.co.uk/,ukfmwarehousing.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,"Warehousing, shipping and distribution",info@ukfmwarehousing.co.uk,Warehousing and distribution team,Verified team or general business contact,0208 310 5711,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/ukfm-warehousing,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/ukfm-warehousing/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Strong,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Storage-volume and handling qualification. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
WicksLX,wickslx,https://www.wickslx.co.uk/,wickslx.co.uk,United Kingdom,Business entity shown on official website; exact Companies House status not relied upon in public concept,Live event and touring production,hello@wickslx.com,Event production team,Verified team or general business contact,+44 (0)7415 963435,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Published on GitHub Pages; public main page and thank-you page verified,prospects/wickslx-events,main (source branch agent/prospect-demo-batch-11),https://mda-growth-systems.github.io/mda-prospect-demos/prospects/wickslx-events/,Created in connected Gmail; not sent,Created as standalone Re: draft; not sent; genuine threading pending until original is sent,Exactly 20-message Batch 11 drafted; not sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in connected checks,,88,Moderate,"No prior MDA contact, demo, GitHub folder or suppression entry found in available Gmail/GitHub checks. Primary opportunity: Tour and show production brief. Public main and thank-you pages plus MDA website verified 2026-08-05T13:39:38Z.",,
Edge Technology Power,edge technology power,https://www.edgetechnology.co.uk/,edgetechnology.co.uk,United Kingdom,"Active private limited company (Edge Technology Power Ltd, 05242175)","Industrial generator sales, installation and repair",enquiries@edgetechnology.co.uk,Power enquiries team,General business inbox; director Michael Harold John Barry verified,01270 306822,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/edge-technology-power,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/edge-technology-power/,Created — draft ID r2893288433810546545; message ID 19fd37759428d9e5; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,92,Strong,Primary opportunity: Generator fault and project-intake triage. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd37759428d9e5,,
Air Compressors & Equipment Ltd,air compressors  equipment ltd,https://www.aircompressorequipment.co.uk/,aircompressorequipment.co.uk,United Kingdom,Active private limited company (05375081),"Compressed-air equipment, service and hire",info@aircompressorequipment.co.uk,Compressed-air service team,General business inbox; active directors publicly listed,0808 304 8186,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/air-compressors-equipment,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/air-compressors-equipment/,Created — draft ID r2896444374622729521; message ID 19fd3771d9374738; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,91,Strong,Primary opportunity: Compressed-air fault qualification. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd3771d9374738,,
Portcullis Site Services,portcullis site services,https://www.portcullis-site-services.co.uk/,portcullis-site-services.co.uk,United Kingdom,Active private limited company (08152218),Industrial doors and loading-bay equipment,enquiries@portcullis-site-services.co.uk,Service and projects team,General business inbox,+44 (0)1484 602563,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/portcullis-site-services,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/portcullis-site-services/,Created — draft ID r9212594075180672014; message ID 19fd377dd32ff6e3; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,90,Strong,Primary opportunity: Industrial-door and loading-bay fault routing. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377dd32ff6e3,,
Loading Bay Service,loading bay service,https://rampsales.co.uk/,rampsales.co.uk,United Kingdom,Active private limited company (04597156),"Loading-bay design, supply and service",info@rampsales.co.uk,Loading-bay projects team,General business inbox; director details publicly filed,01902 846193,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/loading-bay-service,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/loading-bay-service/,Created — draft ID r-8796315638826207445; message ID 19fd377bcd557c54; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,89,Strong,Primary opportunity: Loading-bay survey qualification. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377bcd557c54,,
The Racking Installation Company,the racking installation company,https://www.rackinginstallationcompany.co.uk/,rackinginstallationcompany.co.uk,United Kingdom,Active private limited company (05199607),"Warehouse racking installation, inspection and repair",info@rackinginstallationcompany.co.uk,Racking projects team,General business inbox; director Steven Tsang verified,0845 450 9223,2026-08-05,,Five business days after actual approved send,Working; specific enquiry-qualification opportunity identified,Public and HTTPS verified — 2026-08-05 21:46 SAST via GitHub Actions signed-out HTTPS curl checks,prospects/racking-installation-company,main; PR #9 merged,https://mda-growth-systems.github.io/mda-prospect-demos/prospects/racking-installation-company/,Created — draft ID r-1919525191013008667; message ID 19fd377fbdaa12bf; not sent,Prepared text only — genuine threaded reply pending after first email is approved and sent,First-contact Gmail draft created; follow-up copy prepared; nothing sent,Not applicable — no email sent,Not applicable — no email sent,No matching opt-out found in available Gmail/domain check,,90,Strong,Primary opportunity: Racking project and damage intake. All public demo facts limited to verified website sources. Public demo and MDA links passed signed-out checks. Gmail draft: https://mail.google.com/mail/#all/19fd377fbdaa12bf,,
